dataset,imageID,ROInum,minJ,maxSCDr,maxPCF,Density,ROI_areaInclude,ROI_areaExclude,ROI_tumourArea,ROI_stromaArea,ROI_areaNecrosis,ROI_propExclude,ROI_propNecrosis,ROI_propAnnotatedOut
HeadAndNeck,33754-07,75,0.316950336,0.106553277,1.236267354,469.3333333,2.2508,0,1.6009,0.6499,0,0,0,0
HeadAndNeck,33754-07,78,0.190948347,0.111055528,1.514698955,388.8888889,2.2508,0,1.206,1.0448,0,0,0,0
HeadAndNeck,33754-07,79,0.21050427,0.100550275,1.317202344,494.6666667,2.2508,0,1.552,0.69881,0,0,0,0
HeadAndNeck,33754-07,80,0.412047751,0.129814907,1.268411241,336,2.2508,0,1.7613,0.48951,0,0,0,0
HeadAndNeck,33754-07,81,0.333995367,0.094547274,1.248545617,456.4444444,2.2508,0,1.4822,0.76867,0,0,0,0
HeadAndNeck,33754-07,82,0.145502292,0.150825413,1.342182298,436,2.2508,0,1.5223,0.72852,0,0,0,0
HeadAndNeck,33754-07,83,0.150990554,0.265632816,1.948666061,235.1111111,2.0817,0.16917,0.85963,1.222,0,0.075157606,0,0.075157606
HeadAndNeck,33754-07,85,0.960641143,0.095297649,1.134859916,273.7777778,2.2508,0,1.9865,0.26438,0.0028425,0,0.001262884,0.001262884
HeadAndNeck,33754-07,86,0.401634798,0.07803902,1.187747753,463.5555556,2.2508,0,1.598,0.6528,0,0,0,0
HeadAndNeck,38648-07,2,0.013698465,0.246123062,1.852683122,472.8888889,2.2508,0,0.65823,1.5926,0.14746,0,0.065514484,0.065514484
HeadAndNeck,38648-07,3,0.014089546,0.787143572,8.760415987,51.55555556,1.0544,1.1965,0.20119,0.85316,0.0034042,0.531565152,0.001512373,0.533077525
HeadAndNeck,38648-07,4,0.012790107,0.665582791,2.504493859,214.6666667,1.4589,0.7919,0.89351,0.56544,0.031511,0.35183046,0.013999911,0.365830371
HeadAndNeck,38648-07,5,0.048571855,0.156078039,1.670829068,266.2222222,2.2508,0,1.1297,1.1211,0.004841,0,0.002150791,0.002150791
HeadAndNeck,38648-07,6,0.589254828,0.096048024,1.441648405,340.4444444,2.2508,0,1.7659,0.4849,0.048648,0,0.021613648,0.021613648
HeadAndNeck,38648-07,7,0.08979436,0.176338169,1.546799131,278.2222222,2.2508,0,1.4826,0.76825,0.028603,0,0.012707926,0.012707926
HeadAndNeck,38648-07,8,0.070248732,0.154577289,1.626765614,409.7777778,2.2508,0,0.18464,2.0662,0.079125,0,0.035154167,0.035154167
HeadAndNeck,38648-07,9,0.088679787,0.226613307,1.359003062,401.3333333,2.1775,0.073373,0.72437,1.4531,0.039986,0.032597574,0.017764663,0.050362237
HeadAndNeck,38648-07,11,0.027771039,0.201850925,1.726674254,382.2222222,2.2508,0,1.1577,1.0932,0.26806,0,0.119095433,0.119095433
HeadAndNeck,38648-07,12,0.192148904,0.114057029,1.497811192,516.8888889,2.2508,0,0.1553,2.0955,0.020802,0,0.009242047,0.009242047
HeadAndNeck,38648-07,13,0.072756517,0.163581791,1.929147426,506.6666667,2.2508,0,0.2914,1.9594,0.089348,0,0.039696108,0.039696108
HeadAndNeck,38648-07,14,0.150004743,0.150075038,1.670810146,334.2222222,2.2179,0.032939,0.55898,1.6589,0.078011,0.014634099,0.034658632,0.04929273
HeadAndNeck,38648-07,15,0.011097434,0.226613307,1.641281235,397.7777778,2.2508,0,1.3018,0.94902,0.35429,0,0.157406256,0.157406256
HeadAndNeck,38648-07,16,0.011277124,0.822411206,4.215049953,73.33333333,0.99939,1.2515,0.54657,0.45282,0.0087431,0.556002292,0.003884286,0.559886578
HeadAndNeck,38648-07,18,0.030907533,0.306153077,1.750927345,356.8888889,2.2508,0,0.23152,2.0193,0.16015,0,0.071152479,0.071152479
HeadAndNeck,38648-07,19,0.035494122,0.151575788,1.830159375,272.4444444,2.2508,0,0.96118,1.2897,0.12395,0,0.055069309,0.055069309
HeadAndNeck,38648-07,20,0.165709054,0.122311156,1.810426224,460,2.1898,0.061092,0.60825,1.5815,0.073352,0.02714124,0.03258797,0.05972921
HeadAndNeck,38648-07,22,0.004966235,1.08054027,4.882205037,168.8888889,2.2508,0,1.5802,0.67065,1.2763,0,0.567042829,0.567042829
HeadAndNeck,38648-07,23,0.108880481,0.095297649,1.507202039,534.6666667,2.2508,0,0.72187,1.529,0.057997,0,0.025767283,0.025767283
HeadAndNeck,38648-07,24,0.006072606,0.598049025,2.180678189,174.6666667,1.2229,1.0279,0.80542,0.4175,0,0.456682069,0,0.456682069
HeadAndNeck,38648-07,25,0.023025954,0.345922961,1.720132143,317.7777778,2.2508,0,0.69567,1.5552,0.058887,0,0.026162698,0.026162698
HeadAndNeck,38648-07,26,0.202444976,0.113306653,1.838826454,402.6666667,2.2206,0.030267,1.0603,1.1603,0.10761,0.013446818,0.047808245,0.061255063
HeadAndNeck,38648-07,27,0.162626653,0.13881941,1.721648166,484.8888889,2.2508,0,0.45938,1.7915,0.11788,0,0.05237249,0.05237249
HeadAndNeck,38648-07,28,0.174430392,0.147073537,1.627162649,311.1111111,2.2508,0,0.97462,1.2762,0.0048255,0,0.002143904,0.002143904
HeadAndNeck,38648-07,29,0.038886744,0.133566783,1.358227165,349.7777778,2.2508,0,1.4288,0.82206,0.090081,0,0.04002177,0.04002177
HeadAndNeck,38648-07,30,0.011927804,0.865182591,4.57964068,67.11111111,0.7416,1.5092,0.59977,0.14183,0.061685,0.670517149,0.027405811,0.697922961
